Expression,Left Eye Height,Right Eye Height,Left Eyebrow Height,Right Eyebrow Height,LeftEyebrow to Eye Distance,RightEyebrow to Eye Distance,MouthHeight,Timestamp
Happy,10.049876,10.000000,16.492423,17.720045,53.254108,47.675990,43.689988,0.041000ms,
Happy,9.000000,10.000000,17.262677,17.088007,53.535035,49.365980,44.093876,0.150000ms,
Happy,10.000000,10.000000,16.763055,16.763055,54.083269,47.518417,44.159934,0.249000ms,
Happy,10.000000,10.000000,17.464249,18.027756,53.254108,47.518417,44.142150,0.337000ms,
Happy,10.049876,10.049876,17.262677,17.720045,54.083269,47.518417,45.609164,0.444000ms,
Happy,10.049876,11.180340,17.464249,16.763055,54.083269,47.381431,46.075776,0.533000ms,
Happy,8.000000,10.000000,17.262677,17.464249,54.378304,49.497475,46.189644,0.629000ms,
Happy,9.055385,10.000000,16.492423,17.464249,54.083269,47.675990,43.709209,0.738000ms,
Happy,9.055385,10.000000,18.681542,16.763055,53.000000,48.662100,43.706419,0.849000ms,
Neutral,10.049876,9.055385,17.029386,15.524175,52.839379,49.648766,34.298581,0.941000ms,
Neutral,9.000000,8.062258,15.000000,15.524175,52.839379,51.623638,32.209053,1.034000ms,
Neutral,9.055385,10.049876,17.029386,14.560220,53.712196,52.469038,31.350418,1.129000ms,
Neutral,9.055385,9.055385,16.031220,15.297059,53.235327,53.600373,31.774590,1.221000ms,
Neutral,9.055385,8.062258,15.033296,15.524175,53.235327,52.773099,31.419825,1.353000ms,
Neutral,10.049876,8.062258,16.031220,15.524175,54.120237,52.773099,32.418675,1.447000ms,
Neutral,9.055385,10.049876,14.317821,16.155494,52.354560,51.478151,30.757264,1.534000ms,
Neutral,8.062258,10.049876,16.031220,14.317821,54.120237,51.788030,31.774590,1.629000ms,
Neutral,12.041595,10.198039,17.029386,14.866069,53.712196,51.478151,30.201430,1.738000ms,
Neutral,12.000000,11.000000,13.152946,15.811388,55.470713,53.758720,38.542767,1.832000ms,
Neutral,15.033296,14.035669,17.117243,15.811388,62.177166,58.549125,33.234623,1.925000ms,
Neutral,16.031220,14.142136,16.124515,16.763055,61.717096,60.530984,31.334350,2.035000ms,
Neutral,16.031220,16.124515,16.278821,17.088007,62.177166,62.513998,39.759058,2.146000ms,
Neutral,17.029386,15.132746,17.029386,17.720045,63.505905,62.513998,40.315682,2.238000ms,
Neutral,17.262677,17.262677,15.297059,18.027756,62.177166,61.522354,40.860992,2.332000ms,
Neutral,16.031220,15.297059,15.033296,16.763055,61.717096,61.522354,31.729979,2.426000ms,
Neutral,17.117243,16.031220,17.117243,16.763055,63.529521,60.671245,36.430895,2.519000ms,
Neutral,18.248288,15.132746,16.278821,16.763055,61.773781,58.694122,33.439477,2.630000ms,
Neutral,16.031220,16.124515,16.124515,16.492423,61.294372,59.539903,37.000000,2.737000ms,
Neutral,15.033296,17.029386,15.033296,17.262677,61.294372,59.841457,39.000000,2.833000ms,
Neutral,14.000000,15.132746,16.031220,16.492423,63.953108,62.649820,37.443907,2.925000ms,
Neutral,15.033296,15.132746,14.000000,14.142136,63.071388,64.938432,34.000000,3.035000ms,
Neutral,15.033296,14.142136,14.000000,13.601471,65.306967,65.764732,37.247045,3.128000ms,
Neutral,16.031220,15.132746,16.000000,14.560220,67.119297,65.764732,33.801443,3.221000ms,
Neutral,15.297059,15.132746,17.029386,13.152946,66.211781,63.639610,30.023313,3.317000ms,
Neutral,15.297059,15.033296,16.000000,13.038405,66.640828,63.788714,30.042069,3.440000ms,
Neutral,15.132746,15.132746,16.031220,13.152946,66.211781,62.968246,28.594243,3.534000ms,
Neutral,15.297059,15.033296,17.029386,14.560220,65.741920,63.788714,29.205287,3.628000ms,
Neutral,14.142136,13.152946,15.033296,14.142136,61.294372,60.827625,33.000000,3.723000ms,
Neutral,10.049876,10.198039,16.124515,16.278821,60.539243,59.682493,37.449562,3.816000ms,
Neutral,12.041595,11.180340,16.124515,17.720045,57.801384,55.578773,34.896950,3.925000ms,
Neutral,11.045361,12.041595,16.031220,16.278821,54.708317,51.788030,34.453369,4.035000ms,
Neutral,12.000000,12.041595,17.029386,15.297059,56.435804,52.773099,35.449629,4.143000ms,
Neutral,13.152946,13.038405,16.124515,14.560220,54.378304,50.487622,35.000000,4.222000ms,
Neutral,11.045361,11.045361,16.124515,14.317821,57.454330,51.478151,35.052277,4.331000ms,
Neutral,11.180340,11.045361,14.000000,15.811388,56.603887,51.351728,31.016121,4.426000ms,
Neutral,10.198039,11.045361,16.031220,14.560220,56.938563,50.249378,30.474417,4.521000ms,
Neutral,11.045361,11.045361,16.124515,14.560220,56.080300,51.351728,30.478741,4.613000ms,
Neutral,12.041595,13.038405,15.033296,16.763055,56.080300,51.244512,32.979581,4.737000ms,
Neutral,11.045361,11.401754,16.031220,16.492423,54.708317,51.478151,33.027962,4.833000ms,
Neutral,9.055385,11.180340,13.152946,16.492423,52.839379,52.239832,23.536984,4.924000ms,
Neutral,9.055385,13.038405,11.045361,16.763055,38.013156,37.483330,10.534968,5.018000ms,
Neutral,14.317821,15.033296,19.104973,16.552945,42.438190,37.013511,14.000000,5.115000ms,
Neutral,15.524175,17.029386,10.440307,14.866069,45.188494,43.011626,25.411701,5.256000ms,
Neutral,10.000000,11.180340,14.142136,15.000000,55.217751,50.803543,25.056169,5.497000ms,
Neutral,11.000000,11.045361,14.317821,15.132746,55.217751,51.623638,23.953766,5.535000ms,
Neutral,11.045361,9.219544,15.297059,14.142136,58.523500,54.332311,20.500579,5.629000ms,
Neutral,12.041595,12.041595,10.049876,9.219544,49.648766,48.507731,12.440141,5.723000ms,
Neutral,9.055385,10.198039,14.317821,13.601471,53.338541,49.819675,21.000000,5.817000ms,
Neutral,10.049876,9.219544,11.045361,11.401754,52.773099,51.478151,17.642206,5.911000ms,
Neutral,10.198039,10.198039,14.035669,12.165525,54.083269,51.623638,14.000000,6.020000ms,
Neutral,10.198039,10.049876,17.029386,17.720045,56.080300,52.469038,25.077383,6.130000ms,
Neutral,9.000000,9.055385,17.029386,18.027756,55.946403,54.332311,26.247309,6.222000ms,
Happy,9.219544,8.062258,18.248288,18.439089,58.668561,55.326305,46.174611,6.315000ms,
