Expression,Left Eye Height,Right Eye Height,Left Eyebrow Height,Right Eyebrow Height,Left Eyebrow to Eye Height,Right Eyebrow to Eye Height,MouthHeight,
Happy,7.000000,7.000000,20.248457,18.973666,49.578221,113.885908,44.428551,
Sad,15.033296,14.142136,22.803509,20.248457,61.294372,120.307938,19.532128,
Angry,8.000000,7.071068,16.124515,13.341664,41.036569,110.353976,33.476565,
Surprised,13.000000,14.000000,24.351591,21.023796,65.513357,125.896783,39.508957,
Scared,10.049876,10.000000,20.880613,18.973666,57.688820,116.361506,29.948900,
Neutral,12.000000,12.000000,19.416488,18.681542,51.400389,114.490174,16.553323,
Neutral,10.049876,12.000000,21.931712,19.313208,56.727418,121.202310,18.605827,
Happy,8.062258,8.000000,20.248457,19.313208,53.075418,120.420098,44.056345,
Sad,16.000000,15.033296,18.973666,18.384776,55.605755,119.854078,16.079913,
Angry,11.000000,10.049876,17.720045,13.928388,42.520583,111.628849,33.621896,
Surprised,17.000000,18.027756,21.540659,20.248457,63.245553,124.342270,43.561112,
Scared,17.000000,15.297059,18.973666,18.973666,61.854668,120.569482,27.539887,
Happy,12.000000,12.041595,15.524175,18.027756,53.254108,118.928550,45.709483,
Happy,12.000000,13.000000,14.560220,17.088007,53.254108,117.652029,44.654711,
Happy,12.041595,12.041595,14.317821,18.027756,52.430907,117.652029,45.654420,
Happy,13.152946,12.000000,16.492423,18.027756,52.801515,116.378692,44.713345,
Happy,13.000000,13.152946,17.720045,16.763055,52.201533,116.709040,46.164620,
Sad,13.038405,13.038405,15.524175,17.088007,50.606324,115.879247,26.606640,
Angry,11.045361,13.000000,19.416488,15.811388,67.082039,124.531121,48.513792,
Angry,12.041595,13.038405,18.248288,16.763055,65.306967,124.907966,49.508055,
Angry,12.000000,13.000000,18.110770,15.524175,64.884513,125.299641,49.519166,
Angry,11.000000,13.038405,18.248288,16.763055,62.169124,124.354332,48.021584,
Angry,12.041595,12.000000,19.235384,17.088007,62.609903,124.354332,49.519166,
Angry,12.000000,12.041595,19.235384,16.763055,62.169124,124.354332,49.508055,
Angry,12.000000,12.000000,19.104973,17.088007,62.169124,125.239770,49.519166,
Angry,12.000000,13.038405,19.104973,16.492423,63.976558,124.422667,49.519166,
Surprised,15.297059,14.035669,19.235384,17.088007,62.265560,122.539789,48.457191,
Surprised,13.000000,14.035669,20.099751,16.155494,61.294372,123.004065,46.953649,
Surprised,13.000000,14.035669,18.027756,16.155494,59.941638,123.004065,47.999118,
Surprised,13.038405,15.033296,19.026298,16.763055,60.901560,121.202310,46.951521,
Surprised,14.000000,15.132746,20.223748,17.464249,60.901560,122.102416,47.931739,
Surprised,14.142136,14.035669,19.235384,17.464249,61.400326,122.102416,48.489314,
Surprised,13.000000,15.297059,17.464249,15.524175,59.169249,121.642920,47.497068,
Surprised,14.000000,15.297059,17.464249,15.811388,58.830264,121.202310,47.480149,
Surprised,14.035669,14.035669,17.117243,17.088007,58.668561,123.004065,47.502620,
Surprised,13.000000,14.035669,18.439089,17.464249,60.539243,122.102416,47.506948,
Surprised,14.035669,15.000000,18.248288,16.763055,59.682493,121.202310,47.502620,
Surprised,15.000000,13.152946,17.262677,14.560220,57.454330,120.768373,46.486019,
Surprised,14.035669,15.033296,17.464249,15.811388,58.830264,121.202310,48.485896,
Surprised,15.033296,15.132746,18.248288,15.811388,60.207973,121.198185,48.000000,
Surprised,15.033296,14.000000,17.464249,15.524175,59.363288,120.747671,48.000000,
Surprised,14.000000,13.152946,18.439089,15.811388,58.830264,121.198185,48.000000,
Surprised,14.000000,13.341664,18.439089,15.524175,59.908263,119.854078,47.485571,
